Nr	Name				No_of_Customers		No_of_Items		Time_Windows
105	105_n060_m200_bt100		60			200			1
106	106_n060_m200_bt3		60			200			1
107	107_n060_m200_bt3		60			200			1
108	108_n060_m200_bt3		60			200			1
109	109_n060_m200_bt3		60			200			1
110	110_n060_m200_bt3		60			200			1
111	111_n060_m200_bt10		60			200			1
112	112_n060_m200_bt10		60			200			1
113	113_n060_m200_bt10		60			200			1
114	114_n060_m200_bt10		60			200			1
115	115_n060_m200_bt10		60			200			1
116	116_n060_m200_bt100		60			200			1
117	117_n060_m200_bt100		60			200			1
118	118_n060_m200_bt100		60			200			1
119	119_n060_m200_bt100		60			200			1
120	120_n060_m200_bt100		60			200			1
121	121_n060_m200_bt3		60			200			1
122	122_n060_m200_bt3		60			200			1
123	123_n060_m200_bt3		60			200			1
124	124_n060_m200_bt3		60			200			1
125	125_n060_m200_bt3		60			200			1
126	126_n060_m200_bt10		60			200			1
127	127_n060_m200_bt10		60			200			1
128	128_n060_m200_bt10		60			200			1
129	129_n060_m200_bt10		60			200			1
130	130_n060_m200_bt10		60			200			1
131	131_n060_m200_bt100		60			200			1
132	132_n060_m200_bt100		60			200			1
133	133_n060_m200_bt100		60			200			1
134	134_n060_m200_bt100		60			200			1
135	135_n060_m200_bt100		60			200			1
136	136_n060_m200_bt3		60			200			1
137	137_n060_m200_bt3		60			200			1
138	138_n060_m200_bt3		60			200			1
139	139_n060_m200_bt3		60			200			1
140	140_n060_m200_bt3		60			200			1
141	141_n060_m200_bt10		60			200			1
142	142_n060_m200_bt10		60			200			1
143	143_n060_m200_bt10		60			200			1
144	144_n060_m200_bt10		60			200			1
145	145_n060_m200_bt10		60			200			1
146	146_n060_m200_bt100		60			200			1
147	147_n060_m200_bt100		60			200			1
148	148_n060_m200_bt100		60			200			1
149	149_n060_m200_bt100		60			200			1
150	150_n060_m200_bt100		60			200			1
151	151_n060_m200_bt3		60			200			1
152	152_n060_m200_bt3		60			200			1
153	153_n060_m200_bt3		60			200			1
154	154_n060_m200_bt3		60			200			1
155	155_n060_m200_bt3		60			200			1
156	156_n060_m200_bt10		60			200			1
157	157_n060_m200_bt10		60			200			1
158	158_n060_m200_bt10		60			200			1
159	159_n060_m200_bt10		60			200			1
160	160_n060_m200_bt10		60			200			1
161	161_n060_m200_bt100		60			200			1
162	162_n060_m200_bt100		60			200			1
163	163_n060_m200_bt100		60			200			1
164	164_n060_m200_bt100		60			200			1
165	165_n060_m200_bt100		60			200			1
166	166_n060_m200_bt3		60			200			1
167	167_n060_m200_bt3		60			200			1
168	168_n060_m200_bt3		60			200			1
169	169_n060_m200_bt3		60			200			1
170	170_n060_m200_bt3		60			200			1
171	171_n060_m200_bt10		60			200			1
172	172_n060_m200_bt10		60			200			1
173	173_n060_m200_bt10		60			200			1
174	174_n060_m200_bt10		60			200			1
175	175_n060_m200_bt10		60			200			1
176	176_n060_m200_bt100		60			200			1
177	177_n060_m200_bt100		60			200			1
178	178_n060_m200_bt100		60			200			1
179	179_n060_m200_bt100		60			200			1
180	180_n060_m200_bt100		60			200			1
181	181_n100_m200_bt3		100			200			1
182	182_n100_m200_bt3		100			200			1
183	183_n100_m200_bt3		100			200			1
184	184_n100_m200_bt3		100			200			1
185	185_n100_m200_bt3		100			200			1
186	186_n100_m200_bt10		100			200			1
187	187_n100_m200_bt10		100			200			1
188	188_n100_m200_bt10		100			200			1
189	189_n100_m200_bt10		100			200			1
190	190_n100_m200_bt10		100			200			1
191	191_n100_m200_bt100		100			200			1
192	192_n100_m200_bt100		100			200			1
193	193_n100_m200_bt100		100			200			1
194	194_n100_m200_bt100		100			200			1
195	195_n100_m200_bt100		100			200			1
196	196_n100_m200_bt3		100			200			1
197	197_n100_m200_bt3		100			200			1
198	198_n100_m200_bt3		100			200			1
199	199_n100_m200_bt3		100			200			1
200	200_n100_m200_bt3		100			200			1
201	201_n100_m200_bt10		100			200			1
202	202_n100_m200_bt10		100			200			1
203	203_n100_m200_bt10		100			200			1
204	204_n100_m200_bt10		100			200			1
205	205_n100_m200_bt10		100			200			1
206	206_n100_m200_bt100		100			200			1
207	207_n100_m200_bt100		100			200			1
208	208_n100_m200_bt100		100			200			1
209	209_n100_m200_bt100		100			200			1
210	210_n100_m200_bt100		100			200			1
211	211_n100_m200_bt3		100			200			1
212	212_n100_m200_bt3		100			200			1
213	213_n100_m200_bt3		100			200			1
214	214_n100_m200_bt3		100			200			1
215	215_n100_m200_bt3		100			200			1
216	216_n100_m200_bt10		100			200			1
217	217_n100_m200_bt10		100			200			1
218	218_n100_m200_bt10		100			200			1
219	219_n100_m200_bt10		100			200			1
220	220_n100_m200_bt10		100			200			1
221	221_n100_m200_bt100		100			200			1
222	222_n100_m200_bt100		100			200			1
223	223_n100_m200_bt100		100			200			1
224	224_n100_m200_bt100		100			200			1
225	225_n100_m200_bt100		100			200			1
226	226_n100_m200_bt3		100			200			1
227	227_n100_m200_bt3		100			200			1
228	228_n100_m200_bt3		100			200			1
229	229_n100_m200_bt3		100			200			1
230	230_n100_m200_bt3		100			200			1
231	231_n100_m200_bt10		100			200			1
232	232_n100_m200_bt10		100			200			1
233	233_n100_m200_bt10		100			200			1
234	234_n100_m200_bt10		100			200			1
235	235_n100_m200_bt10		100			200			1
236	236_n100_m200_bt100		100			200			1
237	237_n100_m200_bt100		100			200			1
238	238_n100_m200_bt100		100			200			1
239	239_n100_m200_bt100		100			200			1
240	240_n100_m200_bt100		100			200			1
241	241_n100_m200_bt3		100			200			1
242	242_n100_m200_bt3		100			200			1
243	243_n100_m200_bt3		100			200			1
244	244_n100_m200_bt3		100			200			1
245	245_n100_m200_bt3		100			200			1
246	246_n100_m200_bt10		100			200			1
247	247_n100_m200_bt10		100			200			1
248	248_n100_m200_bt10		100			200			1
249	249_n100_m200_bt10		100			200			1
250	250_n100_m200_bt10		100			200			1
251	251_n100_m200_bt100		100			200			1
252	252_n100_m200_bt100		100			200			1
253	253_n100_m200_bt100		100			200			1
254	254_n100_m200_bt100		100			200			1
255	255_n100_m200_bt100		100			200			1
256	256_n100_m200_bt3		100			200			1
257	257_n100_m200_bt3		100			200			1
258	258_n100_m200_bt3		100			200			1
259	259_n100_m200_bt3		100			200			1
260	260_n100_m200_bt3		100			200			1
261	261_n100_m200_bt10		100			200			1
262	262_n100_m200_bt10		100			200			1
263	263_n100_m200_bt10		100			200			1
264	264_n100_m200_bt10		100			200			1
265	265_n100_m200_bt10		100			200			1
266	266_n100_m200_bt100		100			200			1
267	267_n100_m200_bt100		100			200			1
268	268_n100_m200_bt100		100			200			1
269	269_n100_m200_bt100		100			200			1
270	270_n100_m200_bt100		100			200			1
271	271_n100_m200_bt3		100			200			1
272	272_n100_m200_bt3		100			200			1
273	273_n100_m200_bt3		100			200			1
274	274_n100_m200_bt3		100			200			1
275	275_n100_m200_bt3		100			200			1
276	276_n100_m200_bt10		100			200			1
277	277_n100_m200_bt10		100			200			1
278	278_n100_m200_bt10		100			200			1
279	279_n100_m200_bt10		100			200			1
280	280_n100_m200_bt10		100			200			1
281	281_n100_m200_bt100		100			200			1
282	282_n100_m200_bt100		100			200			1
283	283_n100_m200_bt100		100			200			1
284	284_n100_m200_bt100		100			200			1
285	285_n100_m200_bt100		100			200			1
286	286_n100_m200_bt3		100			200			1
287	287_n100_m200_bt3		100			200			1
288	288_n100_m200_bt3		100			200			1
289	289_n100_m200_bt3		100			200			1
290	290_n100_m200_bt3		100			200			1
291	291_n100_m200_bt10		100			200			1
292	292_n100_m200_bt10		100			200			1
293	293_n100_m200_bt10		100			200			1
294	294_n100_m200_bt10		100			200			1
295	295_n100_m200_bt10		100			200			1
296	296_n100_m200_bt100		100			200			1
297	297_n100_m200_bt100		100			200			1
298	298_n100_m200_bt100		100			200			1
299	299_n100_m200_bt100		100			200			1
300	300_n100_m200_bt100		100			200			1
301	301_n020_m400_bt3		20			400			1
302	302_n020_m400_bt3		20			400			1
303	303_n020_m400_bt3		20			400			1
304	304_n020_m400_bt3		20			400			1
305	305_n020_m400_bt3		20			400			1
306	306_n020_m400_bt10		20			400			1
307	307_n020_m400_bt10		20			400			1
308	308_n020_m400_bt10		20			400			1
309	309_n020_m400_bt10		20			400			1
310	310_n020_m400_bt10		20			400			1
311	311_n020_m400_bt100		20			400			1
312	312_n020_m400_bt100		20			400			1
313	313_n020_m400_bt100		20			400			1
314	314_n020_m400_bt100		20			400			1
315	315_n020_m400_bt100		20			400			1
316	316_n020_m400_bt3		20			400			1
317	317_n020_m400_bt3		20			400			1
318	318_n020_m400_bt3		20			400			1
319	319_n020_m400_bt3		20			400			1
320	320_n020_m400_bt3		20			400			1
321	321_n020_m400_bt10		20			400			1
322	322_n020_m400_bt10		20			400			1
323	323_n020_m400_bt10		20			400			1
324	324_n020_m400_bt10		20			400			1
325	325_n020_m400_bt10		20			400			1
326	326_n020_m400_bt100		20			400			1
327	327_n020_m400_bt100		20			400			1
328	328_n020_m400_bt100		20			400			1
329	329_n020_m400_bt100		20			400			1
330	330_n020_m400_bt100		20			400			1
331	331_n020_m400_bt3		20			400			1
332	332_n020_m400_bt3		20			400			1
333	333_n020_m400_bt3		20			400			1
334	334_n020_m400_bt3		20			400			1
335	335_n020_m400_bt3		20			400			1
336	336_n020_m400_bt10		20			400			1
337	337_n020_m400_bt10		20			400			1
338	338_n020_m400_bt10		20			400			1
339	339_n020_m400_bt10		20			400			1
340	340_n020_m400_bt10		20			400			1
341	341_n020_m400_bt100		20			400			1
342	342_n020_m400_bt100		20			400			1
343	343_n020_m400_bt100		20			400			1
344	344_n020_m400_bt100		20			400			1
345	345_n020_m400_bt100		20			400			1
346	346_n020_m400_bt3		20			400			1
347	347_n020_m400_bt3		20			400			1
348	348_n020_m400_bt3		20			400			1
349	349_n020_m400_bt3		20			400			1
350	350_n020_m400_bt3		20			400			1
351	351_n020_m400_bt10		20			400			1
352	352_n020_m400_bt10		20			400			1
353	353_n020_m400_bt10		20			400			1
354	354_n020_m400_bt10		20			400			1
355	355_n020_m400_bt10		20			400			1
356	356_n020_m400_bt100		20			400			1
357	357_n020_m400_bt100		20			400			1
358	358_n020_m400_bt100		20			400			1
359	359_n020_m400_bt100		20			400			1
360	360_n020_m400_bt100		20			400			1
361	361_n060_m400_bt3		60			400			1
362	362_n060_m400_bt3		60			400			1
363	363_n060_m400_bt3		60			400			1
364	364_n060_m400_bt3		60			400			1
365	365_n060_m400_bt3		60			400			1
366	366_n060_m400_bt10		60			400			1
367	367_n060_m400_bt10		60			400			1
368	368_n060_m400_bt10		60			400			1
369	369_n060_m400_bt10		60			400			1
370	370_n060_m400_bt10		60			400			1
371	371_n060_m400_bt100		60			400			1
372	372_n060_m400_bt100		60			400			1
373	373_n060_m400_bt100		60			400			1
374	374_n060_m400_bt100		60			400			1
375	375_n060_m400_bt100		60			400			1
376	376_n060_m400_bt3		60			400			1
377	377_n060_m400_bt3		60			400			1
378	378_n060_m400_bt3		60			400			1
379	379_n060_m400_bt3		60			400			1
380	380_n060_m400_bt3		60			400			1
381	381_n060_m400_bt10		60			400			1
382	382_n060_m400_bt10		60			400			1
383	383_n060_m400_bt10		60			400			1
384	384_n060_m400_bt10		60			400			1
385	385_n060_m400_bt10		60			400			1
386	386_n060_m400_bt100		60			400			1
387	387_n060_m400_bt100		60			400			1
388	388_n060_m400_bt100		60			400			1
389	389_n060_m400_bt100		60			400			1
390	390_n060_m400_bt100		60			400			1
391	391_n060_m400_bt3		60			400			1
392	392_n060_m400_bt3		60			400			1
393	393_n060_m400_bt3		60			400			1
394	394_n060_m400_bt3		60			400			1
395	395_n060_m400_bt3		60			400			1
396	396_n060_m400_bt10		60			400			1
397	397_n060_m400_bt10		60			400			1
398	398_n060_m400_bt10		60			400			1
399	399_n060_m400_bt10		60			400			1
400	400_n060_m400_bt10		60			400			1
401	401_n060_m400_bt100		60			400			1
402	402_n060_m400_bt100		60			400			1
403	403_n060_m400_bt100		60			400			1
404	404_n060_m400_bt100		60			400			1
405	405_n060_m400_bt100		60			400			1
406	406_n060_m400_bt3		60			400			1
407	407_n060_m400_bt3		60			400			1
408	408_n060_m400_bt3		60			400			1
409	409_n060_m400_bt3		60			400			1
410	410_n060_m400_bt3		60			400			1
411	411_n060_m400_bt10		60			400			1
412	412_n060_m400_bt10		60			400			1
413	413_n060_m400_bt10		60			400			1
414	414_n060_m400_bt10		60			400			1
415	415_n060_m400_bt10		60			400			1
416	416_n060_m400_bt100		60			400			1
417	417_n060_m400_bt100		60			400			1
418	418_n060_m400_bt100		60			400			1
419	419_n060_m400_bt100		60			400			1
420	420_n060_m400_bt100		60			400			1
421	421_n060_m400_bt3		60			400			1
422	422_n060_m400_bt3		60			400			1
423	423_n060_m400_bt3		60			400			1
424	424_n060_m400_bt3		60			400			1
425	425_n060_m400_bt3		60			400			1
426	426_n060_m400_bt10		60			400			1
427	427_n060_m400_bt10		60			400			1
428	428_n060_m400_bt10		60			400			1
429	429_n060_m400_bt10		60			400			1
430	430_n060_m400_bt10		60			400			1
431	431_n060_m400_bt100		60			400			1
432	432_n060_m400_bt100		60			400			1
433	433_n060_m400_bt100		60			400			1
434	434_n060_m400_bt100		60			400			1
435	435_n060_m400_bt100		60			400			1
436	436_n060_m400_bt3		60			400			1
437	437_n060_m400_bt3		60			400			1
438	438_n060_m400_bt3		60			400			1
439	439_n060_m400_bt3		60			400			1
440	440_n060_m400_bt3		60			400			1
441	441_n060_m400_bt10		60			400			1
442	442_n060_m400_bt10		60			400			1
443	443_n060_m400_bt10		60			400			1
444	444_n060_m400_bt10		60			400			1
445	445_n060_m400_bt10		60			400			1
446	446_n060_m400_bt100		60			400			1
447	447_n060_m400_bt100		60			400			1
448	448_n060_m400_bt100		60			400			1
449	449_n060_m400_bt100		60			400			1
450	450_n060_m400_bt100		60			400			1
451	451_n060_m400_bt3		60			400			1
452	452_n060_m400_bt3		60			400			1
453	453_n060_m400_bt3		60			400			1
454	454_n060_m400_bt3		60			400			1
455	455_n060_m400_bt3		60			400			1
456	456_n060_m400_bt10		60			400			1
457	457_n060_m400_bt10		60			400			1
458	458_n060_m400_bt10		60			400			1
459	459_n060_m400_bt10		60			400			1
460	460_n060_m400_bt10		60			400			1
461	461_n060_m400_bt100		60			400			1
462	462_n060_m400_bt100		60			400			1
463	463_n060_m400_bt100		60			400			1
464	464_n060_m400_bt100		60			400			1
465	465_n060_m400_bt100		60			400			1
466	466_n060_m400_bt3		60			400			1
467	467_n060_m400_bt3		60			400			1
468	468_n060_m400_bt3		60			400			1
469	469_n060_m400_bt3		60			400			1
470	470_n060_m400_bt3		60			400			1
471	471_n060_m400_bt10		60			400			1
472	472_n060_m400_bt10		60			400			1
473	473_n060_m400_bt10		60			400			1
474	474_n060_m400_bt10		60			400			1
475	475_n060_m400_bt10		60			400			1
476	476_n060_m400_bt100		60			400			1
477	477_n060_m400_bt100		60			400			1
478	478_n060_m400_bt100		60			400			1
479	479_n060_m400_bt100		60			400			1
480	480_n060_m400_bt100		60			400			1
481	481_n100_m400_bt3		100			400			1
482	482_n100_m400_bt3		100			400			1
483	483_n100_m400_bt3		100			400			1
484	484_n100_m400_bt3		100			400			1
485	485_n100_m400_bt3		100			400			1
486	486_n100_m400_bt10		100			400			1
487	487_n100_m400_bt10		100			400			1
488	488_n100_m400_bt10		100			400			1
489	489_n100_m400_bt10		100			400			1
490	490_n100_m400_bt10		100			400			1
491	491_n100_m400_bt100		100			400			1
492	492_n100_m400_bt100		100			400			1
493	493_n100_m400_bt100		100			400			1
494	494_n100_m400_bt100		100			400			1
495	495_n100_m400_bt100		100			400			1
496	496_n100_m400_bt3		100			400			1
497	497_n100_m400_bt3		100			400			1
498	498_n100_m400_bt3		100			400			1
499	499_n100_m400_bt3		100			400			1
500	500_n100_m400_bt3		100			400			1
501	501_n100_m400_bt10		100			400			1
502	502_n100_m400_bt10		100			400			1
503	503_n100_m400_bt10		100			400			1
504	504_n100_m400_bt10		100			400			1
505	505_n100_m400_bt10		100			400			1
506	506_n100_m400_bt100		100			400			1
507	507_n100_m400_bt100		100			400			1
508	508_n100_m400_bt100		100			400			1
509	509_n100_m400_bt100		100			400			1
510	510_n100_m400_bt100		100			400			1
511	511_n100_m400_bt3		100			400			1
512	512_n100_m400_bt3		100			400			1
513	513_n100_m400_bt3		100			400			1
514	514_n100_m400_bt3		100			400			1
515	515_n100_m400_bt3		100			400			1
516	516_n100_m400_bt10		100			400			1
517	517_n100_m400_bt10		100			400			1
518	518_n100_m400_bt10		100			400			1
519	519_n100_m400_bt10		100			400			1
520	520_n100_m400_bt10		100			400			1
521	521_n100_m400_bt100		100			400			1
522	522_n100_m400_bt100		100			400			1
523	523_n100_m400_bt100		100			400			1
524	524_n100_m400_bt100		100			400			1
525	525_n100_m400_bt100		100			400			1
526	526_n100_m400_bt3		100			400			1
527	527_n100_m400_bt3		100			400			1
528	528_n100_m400_bt3		100			400			1
529	529_n100_m400_bt3		100			400			1
530	530_n100_m400_bt3		100			400			1
531	531_n100_m400_bt10		100			400			1
532	532_n100_m400_bt10		100			400			1
533	533_n100_m400_bt10		100			400			1
534	534_n100_m400_bt10		100			400			1
535	535_n100_m400_bt10		100			400			1
536	536_n100_m400_bt100		100			400			1
537	537_n100_m400_bt100		100			400			1
538	538_n100_m400_bt100		100			400			1
539	539_n100_m400_bt100		100			400			1
540	540_n100_m400_bt100		100			400			1
541	541_n100_m400_bt3		100			400			1
542	542_n100_m400_bt3		100			400			1
543	543_n100_m400_bt3		100			400			1
544	544_n100_m400_bt3		100			400			1
545	545_n100_m400_bt3		100			400			1
546	546_n100_m400_bt10		100			400			1
547	547_n100_m400_bt10		100			400			1
548	548_n100_m400_bt10		100			400			1
549	549_n100_m400_bt10		100			400			1
550	550_n100_m400_bt10		100			400			1
551	551_n100_m400_bt100		100			400			1
552	552_n100_m400_bt100		100			400			1
553	553_n100_m400_bt100		100			400			1
554	554_n100_m400_bt100		100			400			1
555	555_n100_m400_bt100		100			400			1
556	556_n100_m400_bt3		100			400			1
557	557_n100_m400_bt3		100			400			1
558	558_n100_m400_bt3		100			400			1
559	559_n100_m400_bt3		100			400			1
560	560_n100_m400_bt3		100			400			1
561	561_n100_m400_bt10		100			400			1
562	562_n100_m400_bt10		100			400			1
563	563_n100_m400_bt10		100			400			1
564	564_n100_m400_bt10		100			400			1
565	565_n100_m400_bt10		100			400			1
566	566_n100_m400_bt100		100			400			1
567	567_n100_m400_bt100		100			400			1
568	568_n100_m400_bt100		100			400			1
569	569_n100_m400_bt100		100			400			1
570	570_n100_m400_bt100		100			400			1
571	571_n100_m400_bt3		100			400			1
572	572_n100_m400_bt3		100			400			1
573	573_n100_m400_bt3		100			400			1
574	574_n100_m400_bt3		100			400			1
575	575_n100_m400_bt3		100			400			1
576	576_n100_m400_bt10		100			400			1
577	577_n100_m400_bt10		100			400			1
578	578_n100_m400_bt10		100			400			1
579	579_n100_m400_bt10		100			400			1
580	580_n100_m400_bt10		100			400			1
581	581_n100_m400_bt100		100			400			1
582	582_n100_m400_bt100		100			400			1
583	583_n100_m400_bt100		100			400			1
584	584_n100_m400_bt100		100			400			1
585	585_n100_m400_bt100		100			400			1
586	586_n100_m400_bt3		100			400			1
587	587_n100_m400_bt3		100			400			1
588	588_n100_m400_bt3		100			400			1
589	589_n100_m400_bt3		100			400			1
590	590_n100_m400_bt3		100			400			1
591	591_n100_m400_bt10		100			400			1
592	592_n100_m400_bt10		100			400			1
593	593_n100_m400_bt10		100			400			1
594	594_n100_m400_bt10		100			400			1
595	595_n100_m400_bt10		100			400			1
596	596_n100_m400_bt100		100			400			1
597	597_n100_m400_bt100		100			400			1
598	598_n100_m400_bt100		100			400			1
599	599_n100_m400_bt100		100			400			1
600	600_n100_m400_bt100		100			400			1
